French,English
partie,part
histoire,history
chercher,search
seulement,only
pensais,thought
aide,help
demande,request
genre,kind
frère,brother
laisser,let
mettre,to put
aucun,no
laisse,leash
eux,them
chaque,each
arrivé,come
devrait,should
vont,will
pendant,while
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
donner,give
donné,given
train,train
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
main,hand
côté,side
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
parti,left
boulot,job
arrêter,Stop
terre,Earth
donne,given
loin,far
croire,believe
chérie,sweetheart
plutôt,rather
aura,will have
jouer,to play
bureau,office
